Orthogroup	arabidopsis_thaliana	ceratopteris_richardii	chlamydomonas_reinhardtii	klebsormidium_nitens	marchantia_polymorpha	mesotaenium_endlicherianum	oryza_sativa	ostreococcus_tauri	porphyra_umbilicalis	selaginella_moellendorffii	solanum_lycopersicum	Total
OG0000000	14	8	2	2	3	2	15	2	0	5	16	69
OG0000001	11	10	2	2	1	2	11	3	4	5	6	57
OG0000002	11	5	0	0	1	0	10	0	0	3	19	49
OG0000003	7	8	2	7	3	1	8	0	0	5	6	47
OG0000004	10	5	0	1	1	1	11	0	0	5	7	41
OG0000005	5	8	2	1	3	4	4	2	1	4	1	35
OG0000006	4	3	2	0	2	1	4	0	0	4	6	26
OG0000007	5	3	0	1	1	5	3	0	0	1	5	24
OG0000008	2	2	1	0	4	1	2	0	0	1	2	15
OG0000009	3	0	0	0	0	0	5	0	0	0	5	13
OG0000010	1	2	1	1	1	1	1	1	0	1	1	11
OG0000011	0	0	0	0	0	0	0	0	0	1	9	10
OG0000012	2	2	0	0	0	0	2	0	0	0	3	9
OG0000013	0	0	0	0	1	0	0	0	4	1	0	6
OG0000014	2	0	0	0	0	0	1	0	0	0	2	5
OG0000015	2	0	0	0	0	0	0	0	0	0	3	5
OG0000016	0	0	0	0	0	0	0	0	0	0	5	5
OG0000017	0	0	0	0	0	0	0	0	0	0	5	5
OG0000018	4	0	0	0	0	0	0	0	0	0	0	4
OG0000019	0	0	0	4	0	0	0	0	0	0	0	4
OG0000020	3	0	0	0	0	0	0	0	0	0	0	3
OG0000021	1	0	0	0	0	0	1	0	0	0	1	3
OG0000022	1	0	0	0	0	0	1	0	0	0	1	3
OG0000023	0	0	0	0	0	0	3	0	0	0	0	3
OG0000024	0	0	0	0	0	0	3	0	0	0	0	3
OG0000025	0	2	0	0	0	0	0	0	0	0	0	2
OG0000026	0	0	1	0	0	0	0	1	0	0	0	2
OG0000027	0	0	0	0	0	0	2	0	0	0	0	2
OG0000028	0	0	0	0	0	0	2	0	0	0	0	2
OG0000029	0	0	0	0	0	0	2	0	0	0	0	2
OG0000030	0	0	0	0	0	0	0	2	0	0	0	2
OG0000031	0	0	0	0	0	0	0	0	0	2	0	2
OG0000032	0	0	0	0	0	0	0	0	0	0	2	2
OG0000033	0	0	0	0	0	0	0	0	0	0	2	2
OG0000034	0	0	0	0	0	0	0	0	0	0	2	2
OG0000035	0	0	0	0	0	0	0	0	0	0	2	2
